codice,nome
XT2547-2,moto watch
XT2549-1,moto sound flow
XT2561-1,moto tag
XT2603-2,motorola signature
XT2605-1,motorola edge 70 fusion
XT2605-2,motorola edge 70 fusion
XT2607-1,motorola edge 70 pro
XT2611-3,motorola edge 70 max
XT2621-2,moto g67
XT2621-6,moto g87
XT2621-4,moto g77
XT2623-2,moto g17
XT2625-2,moto g47
XT2625-4,moto g37
XT2641-1,moto buds 2 plus
XT2643-1,moto buds 2
XT2651-1,motorola razr fold
XT2655-1,motorola razr 70 ultra
XT2659-3,motorola razr 70 plus
XT2443-1,moto buds
XT2503-4,motorola edge 60 fusion
XT2505-1,motorola edge 60
XT2507-1,motorola edge 60 pro
XT2509-1,motorola edge 60 neo
XT2521-3,moto g15
XT2523-3,moto g05
XT2523-6,moto e15
XT2527-2,moto g86 5G
XT2527-7,moto g86 power 5G
XT2529-2,moto g56 5G
XT2535-3,moto g06
XT2535-9,moto g06 power
XT2535-13,moto g06 power
XT2537-5,moto g57 power
XT2541-1,moto watch FIT
XT2545-1,moto buds loop
XT2551-6,motorola razr 60 ultra
XT2553-1,motorola razr 60
XT2601-2,motorola edge 70
XT2095-2,moto e7
XT2227-2,moto e32
XT2237-2,moto g73 5G
XT2239-6,moto e22
XT2303-2,motorola edge 40
XT2307-1,motorola edge 40 neo
XT2309-2,ThinkPhone by motorola
XT2321-1,motorola razr 40 ultra
XT2323-1,motorola razr 40
XT2331-2,moto g13
XT2335-2,moto g53 5G
XT2341-2,moto g14
XT2343-2,moto g54 5G
XT2345-3,moto e13
XT2347-2,moto g84 5G
XT2363-3,moto g34 5G
XT2401-1,motorola edge 50 ultra
XT2403-2,motorola edge 50 pro
XT2407-1,motorola edge 50
XT2409-1,motorola edge 50 neo
XT2409-6,Thinkphone 25 by Motorola
XT2421-3,moto g04
XT2421-13,moto e14
XT2423-3,moto g24
XT2427-2,moto g85 5G
XT2429-2,motorola edge 50 fusion
XT2433-5,moto g35 5G
XT2437-3,moto g75 5G
XT2435-2,moto g55 5G
XT2451-3,motorola razr 50 ultra
XT2453-1,motorola razr 50
